순번,출발지 주소,중간집결지 주소,최종 도착지 주소,중간집결 기한,최종도착 기한,중간_최종거리
3907,경상남도 김해시 금관대로 1407,경상남도 창원시 진해구 충장로 10-40,경상남도 창원시 진해구 충장로 1,1 days 14:00:00,1 days 14:00:00,0.521513347
4298,전라남도 광양시 성황수동로 22,광주광역시 북구 무등로 1522-1,광주광역시 북구 무등산천왕봉길 792,3 days 14:00:00,3 days 14:00:00,2.644723759
4342,인천광역시 연수구 함박로7번길 18,인천광역시 계양구 봉오대로 855,인천광역시 부평구 마장로 207,1 days 14:00:00,1 days 14:00:00,5.911016386
4359,경기도 오산시 수청로 13,충청남도 서산시 신정2로 10-10,충청남도 서산시 신성로 330-1,1 days 14:00:00,1 days 14:00:00,0.568263606
4509,광주광역시 남구 용대로 92-1,광주광역시 북구  우치로 336,광주광역시 북구 우치로 339,27 days 14:00:00,27 days 14:00:00,0.047970155
4572,경상남도 창원시 성산구 외동반림로 260,경상남도 창원시 진해구 충장로 10-40,경상남도 창원시 진해구 충장로 1,2 days 14:00:00,2 days 14:00:00,0.521513347
4596,경상남도 사천시 정동면 여옥길 36,경상남도 사천시 사천대로 1891-46,경상남도 사천시 사천대로 1949,1 days 14:00:00,1 days 14:00:00,0.877315457
4656,충청북도 청주시 상당구 단재로 59-1,충청북도 청주시 청원구 외남로 39,충청북도 청주시 청원구 원통숲안1길 39,1 days 14:00:00,1 days 14:00:00,1.827972811
4709,충청북도 청주시 흥덕구 1순환로 571,충청북도 청주시 청원구 외남로 39,충청북도 청주시 청원구 원통숲안1길 39,1 days 14:00:00,1 days 14:00:00,1.827972811
4840,서울특별시 성동구 마장로42길 16,경기도 평택시 고덕북로 75,경기도 평택시 신장로 55,3 days 14:00:00,3 days 14:00:00,1.603601841
5295,서울특별시 성북구 길음로 74,경기도 평택시 고덕북로 75,경기도 평택시 신장로 55,5 days 14:00:00,5 days 14:00:00,1.603601841
5622,서울특별시 중랑구 면목로42길 5,충청북도 청주시 청원구 외남로 39,충청북도 청주시 청원구 원통숲안1길 39,1 days 14:00:00,1 days 14:00:00,1.827972811
5798,강원특별자치도 홍천군 홍천읍 큰골길 86-5,강원특별자치도 홍천군 꽃뫼로 71,강원특별자치도 인제군 응봉길 26-315,2 days 14:00:00,2 days 14:00:00,31.29728488
5820,강원특별자치도 홍천군 화촌면 가락재로 449,강원특별자치도 홍천군 꽃뫼로 71,강원특별자치도 인제군 응봉길 26-315,2 days 14:00:00,2 days 14:00:00,31.29728488
5933,충청북도 음성군 대소면 대화1길 44-8,충청북도 청주시 청원구 외남로 39,충청북도 청주시 청원구 원통숲안1길 39,1 days 14:00:00,1 days 14:00:00,1.827972811
6576,경상남도 함안군 칠원읍 구성길 42,경상남도 사천시 사천대로 1891-46,경상남도 사천시 사천대로 1949,7 days 14:00:00,7 days 14:00:00,0.877315457
6845,충청북도 진천군 덕산읍 연미로 63,충청북도 청주시 청원구 외남로 39,충청북도 청주시 청원구 원통숲안1길 39,1 days 14:00:00,1 days 14:00:00,1.827972811
7101,충청북도 청주시 상당구 중고개로 104,충청북도 청주시 청원구 외남로 39,충청북도 청주시 청원구 원통숲안1길 39,3 days 14:00:00,3 days 14:00:00,1.827972811
7259,충청북도 청주시 상당구 용담로 50,충청북도 청주시 청원구 외남로 39,충청북도 청주시 청원구 원통숲안1길 39,1 days 14:00:00,1 days 14:00:00,1.827972811
7376,대전광역시 서구 관저북로 80,대전광역시 서구 구봉산북로94번길 77,대전광역시 서구 구봉산북로 184-105,1 days 14:00:00,1 days 14:00:00,1.207032469
7433,경상남도 창원시 진해구 냉천로108번길 5-11,경상남도 창원시 진해구 충무로 37,경상남도 창원시 진해구 충장로 1,1 days 14:00:00,1 days 14:00:00,0.664821219
7671,경기도 성남시 중원구 광명로 240-9,충청남도 서산시 신정2로 10-10,충청남도 서산시 신성로 330-1,1 days 14:00:00,1 days 14:00:00,0.568263606
7991,인천광역시 연수구 넘말로 81,인천광역시 계양구 봉오대로 855,인천광역시 부평구 마장로 207,1 days 14:00:00,1 days 14:00:00,5.911016386
8120,전라남도 순천시 삼산로 92-50,광주광역시 북구  우치로 336,광주광역시 북구 우치로 339,27 days 14:00:00,27 days 14:00:00,0.047970155
8138,경상남도 사천시 사천읍 운동장길 3-23,경상남도 사천시 사천대로 1891-46,경상남도 사천시 사천대로 1949,1 days 14:00:00,1 days 14:00:00,0.877315457
8220,경상남도 창원시 진해구 신항동로 226,경상남도 창원시 진해구 충장로 10-40,경상남도 창원시 진해구 충장로 1,1 days 14:00:00,1 days 14:00:00,0.521513347
8562,세종특별자치시 다정북로 109,세종특별자치시  당산로 333,세종특별자치시  세종로 2511,2 days 14:00:00,2 days 14:00:00,5.067947821
8600,경상남도 창원시 진해구 냉천로 257,경상남도 창원시 진해구 충장로 10-40,경상남도 창원시 진해구 충장로 1,3 days 14:00:00,3 days 14:00:00,0.521513347
8604,경상남도 고성군 고성읍 남포로 72,경상남도 창원시 진해구 충장로 10-40,경상남도 창원시 진해구 충장로 1,1 days 14:00:00,1 days 14:00:00,0.521513347
8779,충청북도 청주시 청원구 내수읍 내수로 608-4,충청북도 청주시 청원구 외남로 39,충청북도 청주시 청원구 원통숲안1길 39,1 days 14:00:00,1 days 14:00:00,1.827972811
8780,경상남도 사천시 사천읍 샘골길 51,경상남도 사천시 사천대로 1891-46,경상남도 사천시 사천대로 1949,1 days 14:00:00,1 days 14:00:00,0.877315457
8859,경상남도 진주시 큰들로66번길 12,경상남도 사천시 사천대로 1891-46,경상남도 사천시 사천대로 1949,1 days 14:00:00,1 days 14:00:00,0.877315457
9111,경상남도 창원시 성산구 중앙대로 104,경상남도 사천시 사천대로 1891-46,경상남도 사천시 사천대로 1949,1 days 14:00:00,1 days 14:00:00,0.877315457
9140,경기도 오산시 운암로 64,충청남도 서산시 신정2로 10-10,충청남도 서산시 신성로 330-1,1 days 14:00:00,1 days 14:00:00,0.568263606
9178,충청북도 청주시 청원구 내수읍 마산1길 79,충청북도 청주시 청원구 외남로 39,충청북도 청주시 청원구 원통숲안1길 39,5 days 14:00:00,5 days 14:00:00,1.827972811
9271,충청북도 청주시 흥덕구 대농로 17,충청북도 청주시 청원구 외남로 39,충청북도 청주시 청원구 원통숲안1길 39,1 days 14:00:00,1 days 14:00:00,1.827972811
9362,경기도 수원시 권선구 구운로74번길 18,충청남도 서산시 신정2로 10-10,충청남도 서산시 신성로 330-1,1 days 14:00:00,1 days 14:00:00,0.568263606
9435,인천광역시 연수구 비류대로186번길 21,인천광역시 계양구 봉오대로 855,인천광역시 부평구 마장로 207,1 days 14:00:00,1 days 14:00:00,5.911016386
9623,서울특별시 동작구 상도로47길 84-8,경기도 평택시 고덕북로 75,경기도 평택시 신장로 55,1 days 14:00:00,1 days 14:00:00,1.603601841
9791,부산광역시 사하구 하신번영로 365,경상남도 창원시 진해구 충장로 10-40,경상남도 창원시 진해구 충장로 1,1 days 14:00:00,1 days 14:00:00,0.521513347
9966,경상남도 거창군 거창읍 성산길 109,경상남도 창원시 진해구 충장로 10-40,경상남도 창원시 진해구 중원로 1,1 days 14:00:00,1 days 14:00:00,0.79177528
9988,경기도 의정부시 송양로 46,경기도 양주시 권율로847번길 권율로 847번길 108,경기도 양주시 권율로847번길 108,1 days 14:00:00,1 days 14:00:00,0.627980154
10023,충청북도 청주시 상당구 호미로 137,충청북도 청주시 청원구 외남로 39,충청북도 청주시 청원구 원통숲안1길 39,1 days 14:00:00,1 days 14:00:00,1.827972811
10365,강원특별자치도 춘천시 춘주로 174,강원특별자치도 홍천군 꽃뫼로 71,강원특별자치도 인제군 응봉길 26-315,2 days 14:00:00,2 days 14:00:00,31.29728488
10573,충청북도 청주시 흥덕구 홍골로 82,충청북도 청주시 청원구 외남로 39,충청북도 청주시 청원구 원통숲안1길 39,3 days 14:00:00,3 days 14:00:00,1.827972811
10760,대전광역시 서구 용소로54번길 23,대전광역시 서구 구봉산북로94번길 77,대전광역시 서구 구봉산북로 184-105,1 days 14:00:00,1 days 14:00:00,1.207032469
10868,대전광역시 동구 동산초교로 46,대전광역시 서구 구봉산북로94번길 77,대전광역시 서구 구봉산북로 184-105,1 days 14:00:00,1 days 14:00:00,1.207032469
10889,광주광역시 광산구 풍영로101번길 22,광주광역시 북구  우치로 336,광주광역시 북구 우치로 339,27 days 14:00:00,27 days 14:00:00,0.047970155
10901,충청북도 청주시 청원구 1순환로 123,충청북도 청주시 청원구 외남로 39,충청북도 청주시 청원구 원통숲안1길 39,1 days 14:00:00,1 days 14:00:00,1.827972811
10916,경기도 안산시 단원구 보화1로 21,인천광역시 계양구 봉오대로 855,인천광역시 부평구 마장로 207,1 days 14:00:00,1 days 14:00:00,5.911016386
10976,경상남도 사천시 사남면 조동길 61,경상남도 사천시 사천대로 1891-46,경상남도 사천시 사천대로 1949,1 days 14:00:00,1 days 14:00:00,0.877315457
11233,광주광역시 북구 중가로113번길 36-3,광주광역시 북구 무등로 1522-1,광주광역시 북구 무등산천왕봉길 792,1 days 14:00:00,1 days 14:00:00,2.644723759
11237,경상남도 진주시 진주역로73번길 33,경상남도 사천시 사천대로 1891-46,경상남도 사천시 사천대로 1949,3 days 14:00:00,3 days 14:00:00,0.877315457
11258,부산광역시 남구 유엔로 81,경상남도 사천시 사천대로 1891-46,경상남도 사천시 사천대로 1949,1 days 14:00:00,1 days 14:00:00,0.877315457
11280,광주광역시 북구 우치로311번길 20,광주광역시 북구  우치로 336,광주광역시 북구 우치로 339,28 days 14:00:00,28 days 14:00:00,0.047970155
11353,경상남도 진주시 소호로19번길 11,경상남도 사천시 사천대로 1891-46,경상남도 사천시 사천대로 1949,3 days 14:00:00,3 days 14:00:00,0.877315457
11412,서울특별시 동대문구 한천로2길 62,강원특별자치도 평창군 대관령면 대관령로 83,강원특별자치도 평창군 차항길 3,1 days 14:00:00,1 days 14:00:00,1.873124178
11581,경상남도 김해시 계동로 76-56,경상남도 창원시 진해구 충무로 37,경상남도 창원시 진해구 충장로 1,1 days 14:00:00,1 days 14:00:00,0.664821219
11829,충청북도 제천시 바이오밸리로 171,충청북도 청주시 청원구 외남로 39,충청북도 청주시 청원구 원통숲안1길 39,7 days 14:00:00,7 days 14:00:00,1.827972811
12026,인천광역시 연수구 먼우금로 19,인천광역시 계양구 봉오대로 855,인천광역시 부평구 마장로 207,1 days 14:00:00,1 days 14:00:00,5.911016386
12255,경상남도 사천시 정동면 반룡1로 52,경상남도 사천시 사천대로 1891-46,경상남도 사천시 사천대로 1949,3 days 14:00:00,3 days 14:00:00,0.877315457
12534,경상남도 김해시 분성로272번길 2-16,경상남도 창원시 진해구 충장로 10-40,경상남도 창원시 진해구 충장로 1,1 days 14:00:00,1 days 14:00:00,0.521513347
12557,세종특별자치시 조치원읍 섭골길 59,세종특별자치시  당산로 333,세종특별자치시  세종로 2511,2 days 14:00:00,2 days 14:00:00,5.067947821
12789,충청북도 청주시 서원구 신성화로 8,충청북도 청주시 청원구 외남로 39,충청북도 청주시 청원구 원통숲안1길 39,7 days 14:00:00,7 days 14:00:00,1.827972811
12839,경상남도 김해시 금관대로599번길 27,경상남도 사천시 사천대로 1891-46,경상남도 사천시 사천대로 1949,1 days 14:00:00,1 days 14:00:00,0.877315457
12849,대전광역시 서구 도안동로 77,대전광역시 서구 구봉산북로94번길 77,대전광역시 서구 구봉산북로 184-105,1 days 14:00:00,1 days 14:00:00,1.207032469
13214,충청북도 청주시 흥덕구 오송읍 오송생명14로 215,충청북도 청주시 청원구 외남로 39,충청북도 청주시 청원구 원통숲안1길 39,1 days 14:00:00,1 days 14:00:00,1.827972811
13248,경상남도 사천시 용현면 진삼로 580,경상남도 사천시 사천대로 1891-46,경상남도 사천시 사천대로 1949,1 days 14:00:00,1 days 14:00:00,0.877315457
13328,인천광역시 계양구 형제봉길 100,인천광역시 계양구 봉오대로 855,인천광역시 부평구 마장로 207,1 days 14:00:00,1 days 14:00:00,5.911016386
13335,경상남도 창원시 성산구 대정로 99,경상남도 사천시 사천대로 1891-46,경상남도 사천시 사천대로 1949,1 days 14:00:00,1 days 14:00:00,0.877315457
13517,서울특별시 영등포구 여의대로6길 17,경기도 평택시 고덕북로 75,경기도 평택시 신장로 55,1 days 14:00:00,1 days 14:00:00,1.603601841
13622,충청북도 청주시 흥덕구 오송읍 오송생명7로 151,충청북도 청주시 청원구 외남로 39,충청북도 청주시 청원구 원통숲안1길 39,1 days 14:00:00,1 days 14:00:00,1.827972811
13730,경상남도 창원시 진해구 행암로 5,경상남도 창원시 진해구 충무로 37,경상남도 창원시 진해구 충장로 1,1 days 14:00:00,1 days 14:00:00,0.664821219
13901,경상남도 창원시 진해구 신항동로 267,경상남도 사천시 사천대로 1891-46,경상남도 사천시 사천대로 1949,7 days 14:00:00,7 days 14:00:00,0.877315457
14024,강원특별자치도 홍천군 영귀미면 노천길 95,강원특별자치도 홍천군 꽃뫼로 71,강원특별자치도 인제군 응봉길 26-315,2 days 14:00:00,2 days 14:00:00,31.29728488
14092,충청북도 청주시 흥덕구 가로수로1131번길 11,충청북도 청주시 청원구 외남로 39,충청북도 청주시 청원구 원통숲안1길 39,7 days 14:00:00,7 days 14:00:00,1.827972811
14215,충청북도 청주시 서원구 예체로7번길 48,충청북도 청주시 청원구 외남로 39,충청북도 청주시 청원구 원통숲안1길 39,1 days 14:00:00,1 days 14:00:00,1.827972811
14333,서울특별시 동작구 신대방2나길 26,경기도 평택시 고덕북로 75,경기도 평택시 신장로 55,1 days 14:00:00,1 days 14:00:00,1.603601841
14476,경상남도 창원시 성산구 대원로 80,경상남도 사천시 사천대로 1891-46,경상남도 사천시 사천대로 1949,1 days 14:00:00,1 days 14:00:00,0.877315457
14528,경상남도 거제시 옥포대첩로 460-10,경상남도 창원시 진해구 충장로 10-40,경상남도 창원시 진해구 충장로 1,1 days 14:00:00,1 days 14:00:00,0.521513347
14536,인천광역시 연수구 청량로199번길 29,인천광역시 계양구 봉오대로 855,인천광역시 부평구 마장로 207,1 days 14:00:00,1 days 14:00:00,5.911016386
14549,경기도 고양시 일산동구 일산로 205,경기도 양주시 권율로847번길 권율로 847번길 108,경기도 양주시 권율로847번길 108,1 days 14:00:00,1 days 14:00:00,0.627980154
14568,경상남도 김해시 율하5로 46,경상남도 창원시 진해구 충장로 10-40,경상남도 창원시 진해구 충장로 1,1 days 14:00:00,1 days 14:00:00,0.521513347
14623,충청북도 청주시 서원구 예체로7번길 48,충청북도 청주시 청원구 외남로 39,충청북도 청주시 청원구 원통숲안1길 39,1 days 14:00:00,1 days 14:00:00,1.827972811
14624,충청북도 충주시 성터3길 32,충청북도 청주시 청원구 외남로 39,충청북도 청주시 청원구 원통숲안1길 39,7 days 14:00:00,7 days 14:00:00,1.827972811
14662,충청북도 청주시 흥덕구 증안로 100,충청북도 청주시 청원구 외남로 39,충청북도 청주시 청원구 원통숲안1길 39,1 days 14:00:00,1 days 14:00:00,1.827972811
14995,충청북도 청주시 청원구 오창읍 양청택지2길 9,충청북도 청주시 청원구 외남로 39,충청북도 청주시 청원구 원통숲안1길 39,1 days 14:00:00,1 days 14:00:00,1.827972811
15076,경상남도 창원시 진해구 행암로 5,경상남도 창원시 진해구 충장로 10-40,경상남도 창원시 진해구 충장로 1,1 days 14:00:00,1 days 14:00:00,0.521513347
15401,인천광역시 연수구 능허대로179번길 17,인천광역시 계양구 봉오대로 855,인천광역시 부평구 마장로 207,1 days 14:00:00,1 days 14:00:00,5.911016386
15426,충청북도 청주시 청원구 1순환로 123,충청북도 청주시 청원구 외남로 39,충청북도 청주시 청원구 원통숲안1길 39,1 days 14:00:00,1 days 14:00:00,1.827972811
15480,경기도 수원시 영통구 봉영로1517번길 73,충청남도 서산시 신정2로 10-10,충청남도 서산시 신성로 330-1,1 days 14:00:00,1 days 14:00:00,0.568263606
15893,대전광역시 서구 도안동로 234,대전광역시 서구 구봉산북로94번길 77,대전광역시 서구 구봉산북로 184-105,1 days 14:00:00,1 days 14:00:00,1.207032469
15905,서울특별시 양천구 화곡로3길 26,인천광역시 계양구 봉오대로 855,인천광역시 부평구 마장로 207,1 days 14:00:00,1 days 14:00:00,5.911016386
15987,경상남도 진주시 소호로 39,경상남도 사천시 사천대로 1891-46,경상남도 사천시 사천대로 1949,1 days 14:00:00,1 days 14:00:00,0.877315457
15991,서울특별시 노원구 덕릉로 459-21,경기도 평택시 고덕북로 75,경기도 평택시 신장로 55,3 days 14:00:00,3 days 14:00:00,1.603601841
16080,인천광역시 연수구 능허대로79번길 30,인천광역시 계양구 봉오대로 855,인천광역시 부평구 마장로 207,1 days 14:00:00,1 days 14:00:00,5.911016386
16168,충청북도 청주시 상당구 무농정로 90,충청북도 청주시 청원구 외남로 39,충청북도 청주시 청원구 원통숲안1길 39,1 days 14:00:00,1 days 14:00:00,1.827972811
16542,경기도 안산시 단원구 선부로 166,인천광역시 강화군 인화로 137-1,인천광역시 강화군 강화서로 1027-1,1 days 14:00:00,1 days 14:00:00,1.596786189
16808,충청북도 청주시 청원구 오창읍 오창중앙로 65,충청북도 청주시 청원구 외남로 39,충청북도 청주시 청원구 원통숲안1길 39,5 days 14:00:00,5 days 14:00:00,1.827972811
16849,인천광역시 연수구 넘말로 81,인천광역시 계양구 봉오대로 855,인천광역시 부평구 마장로 207,1 days 14:00:00,1 days 14:00:00,5.911016386
16850,광주광역시 북구 양일로305번길 11,광주광역시 북구 무등로 1522-1,광주광역시 북구 무등산천왕봉길 792,1 days 14:00:00,1 days 14:00:00,2.644723759
17083,광주광역시 광산구 수완로52번길 24-3,광주광역시 북구  우치로 336,광주광역시 북구 우치로 339,28 days 14:00:00,28 days 14:00:00,0.047970155
17385,경기도 부천시 원미구 부천로 225-13,인천광역시 계양구 봉오대로 855,인천광역시 부평구 마장로 207,1 days 14:00:00,1 days 14:00:00,5.911016386
17401,경상남도 창원시 진해구 조천북로 79,경상남도 창원시 진해구 충장로 10-40,경상남도 창원시 진해구 충장로 1,1 days 14:00:00,1 days 14:00:00,0.521513347
17683,경상남도 창원시 진해구 웅천동로1번길 28-6,경상남도 창원시 진해구 충장로 10-40,경상남도 창원시 진해구 충장로 1,1 days 14:00:00,1 days 14:00:00,0.521513347
17695,광주광역시 북구 우치로537번길 5,광주광역시 북구 무등로 1522-1,광주광역시 북구 무등산천왕봉길 792,1 days 14:00:00,1 days 14:00:00,2.644723759
17911,서울특별시 금천구 벚꽃로 158,경기도 평택시 고덕북로 75,경기도 평택시 신장로 55,1 days 14:00:00,1 days 14:00:00,1.603601841
18237,경상남도 창원시 성산구 창이대로574번길 11-11,경상남도 사천시 사천대로 1891-46,경상남도 사천시 사천대로 1949,5 days 14:00:00,5 days 14:00:00,0.877315457
18397,광주광역시 북구 북문대로8번길 28,광주광역시 북구  우치로 336,광주광역시 북구 우치로 339,28 days 14:00:00,28 days 14:00:00,0.047970155
18782,충청북도 청주시 서원구 1순환로1137번길 80,충청북도 청주시 청원구 외남로 39,충청북도 청주시 청원구 원통숲안1길 39,1 days 14:00:00,1 days 14:00:00,1.827972811
18839,경상남도 진주시 진주대로986번길 22,경상남도 사천시 사천대로 1891-46,경상남도 사천시 사천대로 1949,5 days 14:00:00,5 days 14:00:00,0.877315457
18840,충청북도 청주시 청원구 오창읍 구룡1길 12-4,충청북도 청주시 청원구 외남로 39,충청북도 청주시 청원구 원통숲안1길 39,1 days 14:00:00,1 days 14:00:00,1.827972811
19032,부산광역시 영도구 대교로40번길 8,경상남도 창원시 진해구 충장로 10-40,경상남도 창원시 진해구 충장로 1,1 days 14:00:00,1 days 14:00:00,0.521513347
19080,경상남도 양산시 물금읍 메기로 199,경상남도 사천시 사천대로 1891-46,경상남도 사천시 사천대로 1949,1 days 14:00:00,1 days 14:00:00,0.877315457
19139,충청북도 진천군 덕산읍 연미로 128,충청북도 청주시 청원구 외남로 39,충청북도 청주시 청원구 원통숲안1길 39,7 days 14:00:00,7 days 14:00:00,1.827972811
19141,충청북도 청주시 청원구 오창읍 중부로 760,충청북도 청주시 청원구 외남로 39,충청북도 청주시 청원구 원통숲안1길 39,7 days 14:00:00,7 days 14:00:00,1.827972811
19330,충청북도 청주시 청원구 율봉로212번길 17,충청북도 청주시 청원구 외남로 39,충청북도 청주시 청원구 원통숲안1길 39,1 days 14:00:00,1 days 14:00:00,1.827972811
19399,서울특별시 강서구 화곡로 305,충청북도 청주시 청원구 외남로 39,충청북도 청주시 청원구 원통숲안1길 39,1 days 14:00:00,1 days 14:00:00,1.827972811
19443,경상남도 창원시 의창구 하남천서길5번길 27,경상남도 창원시 진해구 충장로 10-40,경상남도 창원시 진해구 충장로 1,3 days 14:00:00,3 days 14:00:00,0.521513347
19791,인천광역시 중구 영종대로196번길 19,인천광역시 계양구 봉오대로 855,인천광역시 부평구 마장로 207,1 days 14:00:00,1 days 14:00:00,5.911016386
19803,대구광역시 수성구 청호로 370,경상남도 사천시 사천대로 1891-46,경상남도 사천시 사천대로 1949,1 days 14:00:00,1 days 14:00:00,0.877315457
19860,경상남도 사천시 정동면 반룡1로 52,경상남도 사천시 사천대로 1891-46,경상남도 사천시 사천대로 1949,3 days 14:00:00,3 days 14:00:00,0.877315457
19898,충청북도 청주시 청원구 오창읍 2산단4로 55,충청북도 청주시 청원구 외남로 39,충청북도 청주시 청원구 원통숲안1길 39,7 days 14:00:00,7 days 14:00:00,1.827972811
19948,충청북도 청주시 서원구 예체로 68,충청북도 청주시 청원구 외남로 39,충청북도 청주시 청원구 원통숲안1길 39,3 days 14:00:00,3 days 14:00:00,1.827972811
19965,경기도 파주시 아침노을길 8-5,경기도 양주시 권율로847번길 권율로 847번길 108,경기도 양주시 권율로847번길 108,1 days 14:00:00,1 days 14:00:00,0.627980154
19980,경상남도 진주시 충의로 146,경상남도 사천시 사천대로 1891-46,경상남도 사천시 사천대로 1949,3 days 14:00:00,3 days 14:00:00,0.877315457
